# 野火：https://pastebin.com/raw/tuXBQs7U

央视,#genre#	
博斯運動,rtmp://219.80.97.77/sat/md051

测试4,#genre#
天映经典,http://171.108.239.109:8181/tsfile/live/1009_1.m3u8
东森电影,http://171.108.239.71:8181/tsfile/live/1010_1.m3u8
龙祥电影,http://171.108.239.71:8181/tsfile/live/1011_1.m3u8
星空卫视,http://171.108.239.71:8181/tsfile/live/1012_1.m3u8
中国电影,http://171.108.239.71:8181/tsfile/live/1013_1.m3u8
私人影院,http://171.108.239.71:8181/tsfile/live/1014_1.m3u8
东森洋片,http://171.108.239.71:8181/tsfile/live/1016_1.m3u8
?TVB华语,http://sc2022.stream-link.org/tv2306.php?id=c01
TVB星河,http://sc2022.stream-link.org/tv2306.php?id=c02
千禧经典台,http://sc2022.stream-link.org/tv2306.php?id=c03
now新闻台,http://sc2022.stream-link.org/tv2306.php?id=c04
翡翠台,http://sc2022.stream-link.org/tv2306.php?id=h01
翡翠台,http://sc2022.stream-link.org/tv2306.php?id=h02
J2,http://sc2022.stream-link.org/tv2306.php?id=h03
無綫新聞台,http://sc2022.stream-link.org/tv2306.php?id=h04
無綫財經台,http://sc2022.stream-link.org/tv2306.php?id=h05
無綫新聞台,http://sc2022.stream-link.org/tv2306.php?id=h06
無綫財經台,http://sc2022.stream-link.org/tv2306.php?id=h07
港台电视31,http://sc2022.stream-link.org/tv2306.php?id=h08
港台电视32,http://sc2022.stream-link.org/tv2306.php?id=h09
CCTV-1,http://sc2022.stream-link.org/tv2306.php?id=h10
CCTV-13,http://sc2022.stream-link.org/tv2306.php?id=h11
香港国际财经,http://sc2022.stream-link.org/tv2306.php?id=h12
香港国际财经,http://sc2022.stream-link.org/tv2306.php?id=h13
HOY TV,http://sc2022.stream-link.org/tv2306.php?id=h14
HOY TV,http://sc2022.stream-link.org/tv2306.php?id=h15
HOY资讯台,http://sc2022.stream-link.org/tv2306.php?id=h16
凤凰卫视资讯,http://sc2022.stream-link.org/tv2306.php?id=h17
凤凰香港,http://sc2022.stream-link.org/tv2306.php?id=h18
凤凰香港,http://sc2022.stream-link.org/tv2306.php?id=h19
澳门莲花,http://sc2022.stream-link.org/tv2306.php?id=h20
東森新聞,http://sc2022.stream-link.org/tv2306.php?id=t01
東森財經新聞,http://sc2022.stream-link.org/tv2306.php?id=t02
中天新聞,http://sc2022.stream-link.org/tv2306.php?id=t03
華視新聞,http://sc2022.stream-link.org/tv2306.php?id=t04
中視新聞,http://sc2022.stream-link.org/tv2306.php?id=t05
民視新聞,http://sc2022.stream-link.org/tv2306.php?id=t06
寰宇國際新聞,http://sc2022.stream-link.org/tv2306.php?id=t07
寰宇台灣新聞,http://sc2022.stream-link.org/tv2306.php?id=t08
三立財經新聞,http://sc2022.stream-link.org/tv2306.php?id=t09
三立新聞,http://sc2022.stream-link.org/tv2306.php?id=t10
三立新聞+,http://sc2022.stream-link.org/tv2306.php?id=t11
台視新聞,http://sc2022.stream-link.org/tv2306.php?id=t12
TVBS新聞,http://sc2022.stream-link.org/tv2306.php?id=t13
TVBS財經,http://sc2022.stream-link.org/tv2306.php?id=t14
中天綜合,http://sc2022.stream-link.org/tv2306.php?id=t15
中天亞洲台,http://sc2022.stream-link.org/tv2306.php?id=t16
民視HD,http://sc2022.stream-link.org/tv2306.php?id=t17
民視第一台,http://sc2022.stream-link.org/tv2306.php?id=t18
民視台灣台,http://sc2022.stream-link.org/tv2306.php?id=t19
民視綜藝台,http://sc2022.stream-link.org/tv2306.php?id=t20
民視影劇台,http://sc2022.stream-link.org/tv2306.php?id=t21
民視旅遊台,http://sc2022.stream-link.org/tv2306.php?id=t22
三立台灣,http://sc2022.stream-link.org/tv2306.php?id=t23
三立都會,http://sc2022.stream-link.org/tv2306.php?id=t24
天才衝衝衝,http://sc2022.stream-link.org/tv2306.php?id=t25
東森yoyo,http://sc2022.stream-link.org/tv2306.php?id=t26
ABC News Australia,http://sc2022.stream-link.org/tv2306.php?id=e01
ABC News,http://sc2022.stream-link.org/tv2306.php?id=e02
ANN News,http://sc2022.stream-link.org/tv2306.php?id=e03
Asianet News,http://sc2022.stream-link.org/tv2306.php?id=e04
BBC News,http://sc2022.stream-link.org/tv2306.php?id=e05
CNA News,http://sc2022.stream-link.org/tv2306.php?id=e06
CNN Live,http://sc2022.stream-link.org/tv2306.php?id=e07
DW News,http://sc2022.stream-link.org/tv2306.php?id=e08
EURO News,http://sc2022.stream-link.org/tv2306.php?id=e09
Fox Live,http://sc2022.stream-link.org/tv2306.php?id=e10
France 24 English,http://sc2022.stream-link.org/tv2306.php?id=e11
GB News,http://sc2022.stream-link.org/tv2306.php?id=e12
Haber Turk,http://sc2022.stream-link.org/tv2306.php?id=e13
NBC News,http://sc2022.stream-link.org/tv2306.php?id=e14
NHK World Japan,http://sc2022.stream-link.org/tv2306.php?id=e15
SKY News,http://sc2022.stream-link.org/tv2306.php?id=e16
Radio Ticino,http://sc2022.stream-link.org/tv2306.php?id=e17
Smithsonian Channel,http://sc2022.stream-link.org/tv2306.php?id=e18
Love Nature,http://sc2022.stream-link.org/tv2306.php?id=e19
Lego,http://sc2022.stream-link.org/tv2306.php?id=e20

测试5,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰中文,http://qspyx.7766.org:9999/tsfile/live/1106_1.m3u8
凤凰中文,http://xcm13.f3322.net:4000/udp/239.93.0.162:2192
凤凰中文,http://xcm13.f3322.net:4000/udp/239.93.1.9:2192
凤凰资讯,http://qspyx.7766.org:9999/tsfile/live/1105_1.m3u8
凤凰资讯,http://xcm13.f3322.net:4000/udp/239.93.0.118:2191
凤凰资讯,http://xcm13.f3322.net:4000/udp/239.93.1.4:2191
香港卫视,http://107.151.203.111:2209/135/hk.php?id=hkws
莲花卫视,http://107.151.203.111:2209/135/hk.php?id=amlh
莲花卫视,http://www.238311.cn:555/lotustv.php
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
凤凰香港,http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8
翡翠台,http://60.208.16.27:1505/gudou.php?id=1350_4500
明珠台,http://60.208.16.27:1505/gudou.php?id=1351_4500
星空卫视,http://60.208.16.27:1505/gudou.php?id=xingkong_1500
Channel.[V],http://xcm13.f3322.net:4000/udp/239.93.1.7:2194
有線新聞,http://61.10.2.141/live_freedirect/hd110_h.live/playlist.m3u8
TVB无线新闻,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153399
TVB-J1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153395
TVB 翡翠,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153401
TVB-1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153396
TVB-E,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153398
TVB星河,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153506
TVB千禧经典,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153503
TVB娱乐.新闻,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153504
VB DRAMA,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153400
TVB JADE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153505
FAIRCHILD 2,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=90352
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
Universe TV,http://jc-qlive-play.jingchangkan.cn/live/3473_171322168_W9MX.m3u8
TVBS新闻,rtmp://119.81.124.89/sat/tv551
台视新闻,http://50.7.238.114:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
亚洲.旅游台,http://50.7.238.114:8278/asiatravel_twn/playlist.m3u8?tid=MB9B9461769094617690&ct=18393&tsum=57c12e5ba95cca684613ec5e14714ff8
东森财经新闻,rtmp://119.81.124.89/sat/tv571
东森.超视,http://50.7.238.114:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
国家地理频道,http://50.7.238.114:8278/natgeohd_twn/playlist.m3u8?tid=MB5B4841803948418039&ct=18393&tsum=a2343b2c061fc9de3fa7857e832d9625
国家地理野生,http://50.7.238.114:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
动物星球,http://50.7.238.114:8278/animalplanet_twn/playlist.m3u8?tid=m4da2c053371613331372&ct=17874&tsum=4481f502bb91c2c67964feecfbc4b702
